storm,year,n_model,n_fema,rho_fema,p_fema,n_huang,rho_huang,p_huang
Katrina,2005,16,16,0.34411764705882353,0.19185563142554293,0,,
Isaac,2012,1,0,,,1,,
Harvey,2017,9,9,0.7999999999999999,0.00962792472537983,6,-0.028571428571428574,0.9571545189504373
Irma,2017,4,4,-0.6000000000000001,0.3999999999999999,4,-0.39999999999999997,0.6
Michael,2018,41,29,0.7517241379310343,2.5923428998020703e-06,8,0.9277781834703689,0.0008914953638238524
Laura,2020,20,12,0.6503496503496504,0.022034190932365288,7,0.8153742483272114,0.025399209718455214
Ida,2021,18,18,0.40350877192982454,0.09680965248246652,0,,
Ian,2022,8,8,0.8095238095238096,0.014902667686230067,0,,
