fips,exposure_units
28035,34851.0
28037,4603.0
28039,10513.0
28041,5681.0
28043,11111.0
28045,23368.0
28047,97549.0
28049,108277.0
28051,7940.0
28053,3985.0
28055,1399.0
28059,65070.0
28061,8473.0
28063,3676.0
28065,6225.0
28067,33761.0
28069,3877.0
28071,28389.0
28073,27228.0
28075,44527.0
28077,6476.0
28079,6469.0
28081,38093.0
28083,13755.0
28085,16599.0
28087,29199.0
28089,43836.0
28091,13274.0
28093,19591.0
28095,13681.0
28097,5306.0
28099,15134.0
28101,10369.0
28103,4960.0
28105,22699.0
28107,15032.0
28109,26375.0
28111,5898.0
28113,21837.0
28115,15075.0
28117,13364.0
28119,3735.0
28121,62263.0
28123,12668.0
28125,2206.0
28127,12049.0
28129,8622.0
28131,8109.0
28133,10476.0
28135,5767.0
28137,11777.0
28139,10076.0
28141,10202.0
28143,5206.0
28145,12830.0
28147,7640.0
28149,23913.0
28151,24292.0
28153,9554.0
28155,4689.0
28157,4946.0
28159,8605.0
28161,6795.0
28163,11068.0
33001,37695.0
33003,40300.0
33013,62269.0
33015,133272.0
33017,55302.0
34001,129415.0
34005,174337.0
34007,201230.0
34009,90983.0
34011,55713.0
34015,112645.0
34021,143990.0
34023,291387.0
34025,252872.0
34029,266338.0
34033,29112.0
34035,125948.0
36021,37809.0
36027,127598.0
36047,1022273.0
36059,497038.0
36079,40874.0
36085,187926.0
36103,576829.0
36119,367803.0
37001,77462.0
37003,18950.0
37007,12191.0
37013,26486.0
37015,11967.0
37017,20557.0
37019,96409.0
37023,40583.0
37025,103419.0
37029,4685.0
37031,53880.0
37033,13583.0
37035,77834.0
37037,32637.0
37041,8405.0
37045,46452.0
37047,24513.0
37049,52093.0
37051,154618.0
37053,17266.0
37055,36598.0
37057,85728.0
37059,20875.0
37061,23427.0
37063,152290.0
37065,23054.0
37067,179100.0
37069,31120.0
37071,104616.0
37073,6274.0
37077,27511.0
37079,10004.0
37081,238054.0
37083,30774.0
37085,55624.0
37091,11145.0
37093,21144.0
37095,3627.0
37097,90355.0
37101,85243.0
37103,5152.0
37105,28018.0
37107,29877.0
37109,44738.0
37111,23332.0
37117,14981.0
37119,492249.0
37123,16270.0
37125,50599.0
37127,46149.0
37129,121074.0
37131,12287.0
37133,85382.0
37135,58550.0
37137,7740.0
37139,18753.0
37141,33806.0
37143,7004.0
37145,19060.0
37147,87827.0
37149,11832.0
37151,73217.0
37153,22224.0
37155,49224.0
37157,53743.0
37159,66056.0
37161,32559.0
37163,30926.0
37165,17287.0
37167,31449.0
37169,23446.0
37171,35111.0
37177,2917.0
37179,92058.0
37181,22377.0
37183,479045.0
37185,12360.0
37187,7014.0
37191,70918.0
37193,41248.0
37195,41323.0
37197,18359.0
42001,45801.0
42011,183242.0
42017,277004.0
42029,223121.0
42045,229696.0
42071,237168.0
42075,65976.0
42077,159464.0
42091,360008.0
42107,75825.0
42133,189817.0
44003,78028.0
44005,44871.0
44007,281917.0
44009,64425.0
45001,12041.0
45003,92952.0
45005,5673.0
45007,94720.0
45009,5627.0
45011,9518.0
45013,100957.0
45015,98583.0
45017,6647.0
45019,213005.0
45021,32209.0
45023,14637.0
45025,35747.0
45027,18172.0
45029,24155.0
45031,31664.0
45033,15564.0
45035,67069.0
45037,10081.0
45039,11911.0
45041,61843.0
45043,38054.0
45045,224364.0
45047,36586.0
45049,13010.0
45051,210646.0
45053,13501.0
45055,34061.0
45057,43579.0
45059,30708.0
45061,7310.0
45063,132741.0
45065,3802.0
45067,15876.0
45069,10946.0
45071,23978.0
45073,47720.0
45075,47319.0
45077,64378.0
45079,190520.0
45081,11407.0
45083,151387.0
45085,58926.0
45087,19383.0
45089,18643.0
45091,111725.0
48001,23520.0
48005,39813.0
48007,18120.0
48013,26164.0
48015,17125.0
48021,44879.0
48025,11058.0
48027,165371.0
48029,805956.0
48031,6112.0
48035,9487.0
48039,151618.0
48041,99047.0
48047,3144.0
48051,10910.0
48053,27970.0
48055,20869.0
48057,13658.0
48061,169792.0
48067,14555.0
48071,19018.0
48073,24294.0
48089,15721.0
48091,74110.0
48099,28024.0
48123,15209.0
48131,5392.0
48139,75529.0
48145,7688.0
48149,20225.0
48157,300480.0
48161,10764.0
48163,7240.0
48167,158145.0
48175,5050.0
48177,11593.0
48183,59796.0
48185,12700.0
48187,73791.0
48193,5323.0
48199,25782.0
48201,1944859.0
48203,32701.0
48209,95878.0
48213,48774.0
48215,326231.0
48217,19292.0
48225,11178.0
48239,8588.0
48241,15961.0
48245,109715.0
48247,2561.0
48249,19142.0
48251,80850.0
48255,8125.0
48259,23745.0
48261,266.0
48273,14142.0
48281,9755.0
48283,3735.0
48285,12734.0
48287,9365.0
48289,9375.0
48291,38093.0
48293,11387.0
48297,6236.0
48309,120526.0
48311,919.0
48313,6458.0
48315,4829.0
48321,20827.0
48325,24127.0
48331,13515.0
48339,249557.0
48347,29076.0
48349,28298.0
48351,7131.0
48355,160781.0
48361,44722.0
48365,10834.0
48373,25753.0
48391,3613.0
48395,9675.0
48401,21329.0
48403,8175.0
48405,4276.0
48407,16399.0
48409,30702.0
48419,14352.0
48423,103850.0
48427,20556.0
48453,538039.0
48455,9134.0
48457,11542.0
48469,43846.0
48471,31784.0
48473,26703.0
48477,16192.0
48479,99988.0
48481,21154.0
48489,7481.0
48491,217070.0
48493,23173.0
48505,7773.0
51001,23336.0
51003,49127.0
51007,5343.0
51025,7769.0
51029,6304.0
51031,23235.0
51033,14395.0
51036,3552.0
51037,5353.0
51041,149599.0
51043,6583.0
51047,20068.0
51049,5003.0
51053,12372.0
51057,6546.0
51061,34611.0
51065,11725.0
51069,38249.0
51073,18776.0
51075,11394.0
51079,8933.0
51081,4554.0
51083,17190.0
51085,48266.0
51087,128677.0
51089,26914.0
51093,20144.0
51095,35474.0
51097,5743.0
51099,10498.0
51101,7694.0
51103,8040.0
51107,116324.0
51109,19470.0
51111,6717.0
51115,5968.0
51117,19257.0
51119,8331.0
51127,9390.0
51131,8005.0
51133,8838.0
51135,5949.0
51137,16749.0
51139,11999.0
51141,8225.0
51143,39812.0
51145,12166.0
51147,7566.0
51149,13748.0
51153,144999.0
51157,3876.0
51165,42667.0
51171,21631.0
51175,8916.0
51177,48803.0
51179,55724.0
51181,3482.0
51183,5381.0
51187,18002.0
51193,14208.0
51199,28290.0
51550,99051.0
51590,24974.0
51630,11794.0
51650,62297.0
51670,11501.0
51683,15474.0
51700,86560.0
51710,103324.0
51730,17687.0
51740,43945.0
51800,36525.0
51810,28793.0
51840,12668.0
