,damage,stcode,ccode,rain1hr,raintot,stide,stidemhhw,windmax,year,gdp,pop,region
51,0,44,5,4.689655172,13.04310345,2.073130187,1.298960124,43.48698315,1996,3249334.547,86164.44586,3
52,0,42,45,1.5625,6.1625,0,0,40.26656841,1996,13225119.14,545807.6474,3
53,0,42,91,2.690178571,9.30021645,0,0,40.0153292,1996,37411209.42,745018.3857,3
54,0,42,95,1.7421875,5.801339286,0,0,37.42447865,1996,4088065.566,268866.7271,3
55,0,42,29,1.933558559,7.697269961,0,0,39.01025448,1996,17718327.47,431225.2135,3
56,0,42,25,1.965144231,4.740842491,0,0,34.86681905,1996,664897.8917,60474.61729,3
57,0,42,11,1.812996032,7.6453494,0,0,36.68591974,1996,9231454.474,375980.4722,3
58,0,42,17,2.571917808,10.25594559,0,0,41.21191011,1996,17354015.51,605381.3609,3
59,0,42,89,2.581730769,7.228454416,0,0,36.97572102,1996,2671247.069,150673.3158,3
60,0,42,77,1.76375,6.192065217,0,0,37.33574461,1996,16764043.02,305053.6113,3
61,0,42,101,2.845394737,9.608552632,0,0,40.73450639,1996,38567478.16,1447483.105,3
62,0,37,105,1.578125,5.658878968,0,0,27.05036632,1996,2069928.4,45808.75865,2
63,0,37,7,0.035511364,0.088423295,0,0,22.78013758,1996,436211.6045,27167.14286,2
64,0,37,185,1.573214286,5.153571429,0,0,34.21669777,1996,237246.1669,20862.62782,2
65,0,37,15,5.226165254,26.48415239,0,0,42.9371167,1996,640301.7759,20852.8594,2
66,0,37,77,0.999246988,3.182981928,0,0,31.74901857,1996,892318.7962,50382.3406,2
67,0,37,181,1.344512195,3.451219512,0,0,32.44104114,1996,1043904.95,44236.0015,2
68,0,37,93,3.441071429,11.02726094,0,0,27.08703699,1996,685062.2226,29593.43083,2
69,0,37,125,1.150995575,4.312231307,0,0,24.85664272,1996,1237910.347,69492.45489,2
70,20150,37,103,8.348765432,43.32519458,0,0,45.98558284,1996,147093.7639,10426.44211,2
71,0,37,29,8.324519231,28.30694111,0,0,42.50276967,1996,141911.6353,7109.485714,2
72,0,37,41,7.732638889,22.18923611,0,0,42.44550924,1996,288019.3135,15046.09774,2
73,0,37,139,7.832880435,26.0925854,0,0,42.56642516,1996,937938.7805,35829.84286,2
74,0,37,191,6.167385057,33.32659896,0,0,39.97833991,1996,2731194.353,112557.8263,2
75,0,37,83,2.800884956,11.58950447,0,0,39.16380827,1996,952530.8887,59299.69474,2
76,0,37,65,3.134908537,17.41108761,0,0,39.37637223,1996,1927702.038,58463.35263,2
77,0,37,195,11.01354167,31.31260776,0,0,36.45005652,1996,3211826.394,73781.40376,2
78,0,37,183,2.798041045,13.56616869,0,0,33.13563385,1996,10484897.34,530750.1707,2
79,16200,37,47,3.602384868,16.56975877,0,0,49.83155347,1996,954987.1256,55382.85789,2
80,0,37,165,0.617346939,1.675956633,0,0,26.95281207,1996,909219.7143,36712.05489,2
81,0,37,127,3.177941176,12.06911765,0,0,35.84521603,1996,2133703.56,89087.26316,2
82,0,37,85,2.286458333,10.91860419,0,0,30.87093063,1996,1054127.911,79858.39173,2
83,5100,37,137,5.490056818,37.56912491,0,0,43.90223653,1996,154563.3827,13121.47143,2
84,14500,37,61,4.825858779,26.15647861,0,0,47.31022495,1996,1921472.645,49840.72105,2
85,1000,37,177,5.932236842,23.90796784,0,0,42.81272273,1996,54019.27068,4436.246617,2
86,28000,37,49,9.56640625,55.28922005,0,0,44.91041764,1996,2702304.297,91238.86466,2
87,0,37,69,3.130335366,7.131097561,0,0,33.85681538,1996,477565.5331,45020.11654,2
88,0,37,131,4.400436047,18.86597982,0,0,39.64842183,1996,385412.7992,23590.99624,2
89,0,37,143,9.245283019,30.95754717,0,0,42.59640104,1996,118272.7271,11373.11579,2
90,12500,37,79,6.933238636,42.04403409,0,0,39.91812181,1996,205478.9083,19676.08271,2
91,50,37,117,4.952898551,26.17043041,0,0,42.67497485,1996,654195.8865,26114.16992,2
92,0,37,73,7.216911765,26.70621658,0,0,41.6538912,1996,109185.6038,10987.85414,2
93,0,37,91,5.407327586,23.20792282,0,0,40.73480577,1996,493520.7023,23692.75338,2
