event_index,event_name,stcode,ccode,fips,units_DS1_raw,units_DS1_scaled,units_DS2_raw,units_DS2_scaled,units_DS3_raw,units_DS3_scaled,units_DS4_raw,units_DS4_scaled,repair_cost_sum_raw,repair_cost_sum_scaled
6,AL122005,22,051,22051,0,0,0,0,60,60,771,771,116892440.42814603,127376197.93108857
6,AL122005,22,057,22057,0,0,0,0,1429,1429,0,0,23465880.83200943,26462987.872509055
6,AL122005,22,063,22063,232,232,0,0,0,0,0,0,586595.3108299125,729865.0530021382
6,AL122005,22,071,22071,0,0,0,0,2,0,62,64,10659551.164896868,12234141.905886643
6,AL122005,22,075,22075,0,0,0,0,0,0,1716,1716,148067131.61868513,162033908.97179246
6,AL122005,22,087,22087,0,0,0,0,0,0,230,230,11822360.843594141,13026157.034329811
6,AL122005,22,089,22089,0,0,0,0,1,1,382,382,31989760.790719133,36958198.79156762
6,AL122005,22,095,22095,1,1,0,0,0,0,0,0,552726.5783726363,719460.2020629463
6,AL122005,22,103,22103,73,73,0,0,8528,4950,1542,5120,621223901.5692676,686577356.6416113
6,AL122005,22,105,22105,0,0,0,0,2,2,0,0,139609.14722252934,181132.40499210102
6,AL122005,22,117,22117,866,866,0,0,228,228,0,0,6209722.773664026,7898707.902959326
