event_index,event_name,stcode,ccode,fips,units_DS1_raw,units_DS1_scaled,units_DS2_raw,units_DS2_scaled,units_DS3_raw,units_DS3_scaled,units_DS4_raw,units_DS4_scaled,repair_cost_sum_raw,repair_cost_sum_scaled
2,AL092017,48,007,48007,0,0,0,0,0,0,5842,5842,377439895.7458942,422253495.6145101
2,AL092017,48,025,48025,0,0,0,0,79,79,0,0,1074249.5902777188,1375359.798453022
2,AL092017,48,057,48057,5,5,0,0,0,0,0,0,840119.8778045068,1023335.189286907
2,AL092017,48,123,48123,0,0,0,0,0,0,0,0,16662.712686191604,23108.056519893795
2,AL092017,48,175,48175,0,0,14,14,43,43,0,0,764959.8645896945,1050599.271192916
2,AL092017,48,273,48273,0,0,0,0,1,1,0,0,162119.52253394516,185179.87257675652
2,AL092017,48,355,48355,0,0,0,0,524,524,182,182,31574090.63521202,34520939.52531997
2,AL092017,48,391,48391,48,48,8,8,0,0,293,293,22583925.098652884,27136692.262335017
2,AL092017,48,409,48409,0,0,0,0,59,59,484,484,37838893.45987024,44480974.98311782
2,AL092017,48,469,48469,18,18,0,0,0,0,0,0,54306.75066747457,76703.40952948033
