event_index,event_name,stcode,ccode,fips,units_DS1_raw,units_DS1_scaled,units_DS2_raw,units_DS2_scaled,units_DS3_raw,units_DS3_scaled,units_DS4_raw,units_DS4_scaled,repair_cost_sum_raw,repair_cost_sum_scaled
6,AL122005,28,029,28029,0,0,0,0,0,0,0,0,397003.07468838396,397003.07468838495
6,AL122005,28,031,28031,0,0,0,0,0,0,0,0,255089.96107478853,340789.3670376436
6,AL122005,28,045,28045,0,0,776,776,224,224,357,357,25976324.060622424,30808762.432235856
6,AL122005,28,047,28047,0,0,0,0,6656,6656,241,241,139267113.75219262,160399208.0182706
6,AL122005,28,059,28059,0,0,18,18,61,61,142,142,8062405.639165234,8982723.115154564
6,AL122005,28,065,28065,0,0,0,0,0,0,0,0,453634.799059864,608396.5065727583
6,AL122005,28,077,28077,0,0,0,0,0,0,0,0,754708.1340294882,996443.6166386926
6,AL122005,28,085,28085,0,0,0,0,0,0,0,0,687311.5175116258,904914.6235508956
6,AL122005,28,091,28091,0,0,0,0,0,0,0,0,6789.417334974142,9208.594515598605
6,AL122005,28,109,28109,0,0,531,531,2879,2879,0,0,39896790.73464518,51682191.192833945
6,AL122005,28,127,28127,0,0,0,0,0,0,0,0,72712.25771512059,97001.48981982881
6,AL122005,28,129,28129,0,0,0,0,0,0,0,0,39043.214494461696,52242.338639874964
6,AL122005,28,131,28131,0,0,0,0,0,0,0,0,703383.6286911734,934566.2275637793
