event_index,event_name,stcode,ccode,fips,units_DS1_raw,units_DS1_scaled,units_DS2_raw,units_DS2_scaled,units_DS3_raw,units_DS3_scaled,units_DS4_raw,units_DS4_scaled,repair_cost_sum_raw,repair_cost_sum_scaled
0,AL142018,13,007,13007,0,0,0,0,200,200,2,2,11366786.359640375,12475748.692849822
0,AL142018,13,017,13017,29,29,0,0,0,0,0,0,61836.54251962442,68802.09355830512
0,AL142018,13,019,13019,0,0,0,0,0,0,0,0,7363.665376398347,8179.12356215808
0,AL142018,13,037,13037,0,0,0,0,555,555,0,0,25478815.748120926,27976169.996209554
0,AL142018,13,061,13061,273,273,0,0,149,149,0,0,11691581.046144534,12935086.396889366
0,AL142018,13,071,13071,173,173,1510,1510,320,320,0,0,22615491.63432441,25077639.42380123
0,AL142018,13,081,13081,10,10,969,969,232,232,0,0,9912113.130605485,9912113.130605487
0,AL142018,13,087,13087,0,0,0,0,1929,1588,0,341,63943339.021375075,69626382.6374942
0,AL142018,13,093,13093,0,0,574,574,0,0,0,0,5294331.3032023,5294331.303202303
0,AL142018,13,095,13095,0,0,0,0,1064,1064,0,0,17066374.511433095,18946438.66399377
0,AL142018,13,099,13099,0,0,0,0,255,255,619,619,51150640.277444065,55182957.79184786
0,AL142018,13,131,13131,790,790,0,0,1068,1068,0,0,28244858.56333536,31066485.871110763
0,AL142018,13,153,13153,0,0,0,0,0,0,0,0,213249.6495863225,213249.64958632275
0,AL142018,13,155,13155,113,113,0,0,0,0,0,0,479523.5264059986,534290.4675144944
0,AL142018,13,177,13177,0,0,89,89,885,885,0,0,17375571.797995254,19326132.321653664
0,AL142018,13,193,13193,0,0,0,0,0,0,0,0,1283793.341062896,1283793.3410629001
0,AL142018,13,201,13201,0,0,0,0,139,139,196,196,21386884.68218301,23072033.756790057
0,AL142018,13,205,13205,86,86,0,0,1760,1760,0,0,53335695.21262425,58542044.61365658
0,AL142018,13,235,13235,0,0,0,0,0,0,0,0,9997.268315098518,9997.268315098521
0,AL142018,13,239,13239,671,671,0,0,0,0,0,0,2655709.2287654,2655709.2287654015
0,AL142018,13,243,13243,104,104,0,0,458,458,0,0,7828954.543978754,8739301.505071882
0,AL142018,13,249,13249,0,0,0,0,0,0,0,0,513474.80426215613,513474.8042621535
0,AL142018,13,253,13253,0,0,0,0,798,241,247,804,49797927.750267036,53715091.052506305
0,AL142018,13,259,13259,306,306,0,0,0,0,0,0,1225192.2362648007,1225192.2362647983
0,AL142018,13,261,13261,0,0,1504,1504,0,0,0,0,13709289.339558106,13709289.339558106
0,AL142018,13,273,13273,0,0,69,69,659,659,0,0,16736922.940818436,18586375.56875065
0,AL142018,13,275,13275,931,931,0,0,0,0,0,0,3781205.9203066058,4216252.9883758705
0,AL142018,13,277,13277,0,0,8,8,163,163,0,0,4253123.357413679,4706878.325075147
0,AL142018,13,287,13287,195,195,0,0,355,355,0,0,4425911.070087368,4899237.48970134
0,AL142018,13,307,13307,7,7,41,41,0,0,0,0,1097207.55533507,1097207.5553350695
0,AL142018,13,315,13315,12,12,0,0,0,0,0,0,1202143.2068076173,1202143.2068076178
0,AL142018,13,321,13321,0,0,52,52,1492,1492,0,0,20857121.688760176,23097331.638585113
