event_index,event_name,stcode,ccode,fips,units_DS1_raw,units_DS1_scaled,units_DS2_raw,units_DS2_scaled,units_DS3_raw,units_DS3_scaled,units_DS4_raw,units_DS4_scaled,repair_cost_sum_raw,repair_cost_sum_scaled
3,AL112017,12,015,12015,0,0,0,0,0,0,0,0,127846.68066836621,143561.87830364483
3,AL112017,12,021,12021,0,0,36,36,4508,4508,85,85,124676991.03891787,145954561.55986717
3,AL112017,12,051,12051,0,0,0,0,0,0,0,0,145039.01312784237,166002.54918308527
3,AL112017,12,071,12071,3953,3953,7571,7571,4092,4092,0,0,396555966.76771426,447830076.880875
3,AL112017,12,086,12086,0,0,0,0,1,1,0,0,60281.13854116438,69912.50051097857
3,AL112017,12,087,12087,0,3,0,0,2059,2059,632,632,142519665.0287787,160012542.4612321
