event_index,event_name,stcode,ccode,fips,units_DS1_raw,units_DS1_scaled,units_DS2_raw,units_DS2_scaled,units_DS3_raw,units_DS3_scaled,units_DS4_raw,units_DS4_scaled,repair_cost_sum_raw,repair_cost_sum_scaled
1,AL132020,22,001,22001,0,0,1,1,0,0,0,0,4200.020269458119,5936.34911013245
1,AL132020,22,003,22003,0,0,586,586,1174,722,0,452,129614301.94713207,172539442.12327558
1,AL132020,22,011,22011,0,0,0,0,3812,2208,583,2187,178965549.75999177,224827695.2102742
1,AL132020,22,013,22013,0,0,0,0,0,0,0,0,796136.4332379987,796136.4332380001
1,AL132020,22,015,22015,0,0,0,0,0,0,0,0,575320.9555829786,575320.9555829773
1,AL132020,22,017,22017,0,0,0,0,0,0,0,0,431883.3405394001,431883.3405393959
1,AL132020,22,019,22019,383,22,0,361,1419,976,6315,6758,570215011.4103446,657721226.3341134
1,AL132020,22,023,22023,35,24,0,11,73,73,772,772,101599421.08295712,109296442.59977487
1,AL132020,22,031,22031,162,162,0,0,0,0,0,0,2062915.823698684,2062915.8236986757
1,AL132020,22,039,22039,0,0,3,3,0,0,0,0,13104.241492908663,18697.848372770193
1,AL132020,22,043,22043,133,133,1519,1519,498,498,0,0,19842730.816908494,19842730.816908497
1,AL132020,22,049,22049,0,0,0,0,0,0,0,0,312493.33809875324,312493.33809875575
1,AL132020,22,053,22053,0,0,142,142,434,345,0,89,35893055.34088048,48243966.988052905
1,AL132020,22,069,22069,1529,1529,3,3,70,70,0,0,5503262.952056635,5503262.952056631
1,AL132020,22,079,22079,13,0,1938,1951,1870,1870,0,0,62455443.626805626,83401168.19968256
1,AL132020,22,081,22081,31,31,0,0,0,0,0,0,499481.1003113789,499481.1003113793
1,AL132020,22,085,22085,2795,2795,1569,1569,652,652,0,0,42326504.01748729,42326504.01748728
1,AL132020,22,115,22115,982,982,291,291,1963,1963,1,1,35490347.79386443,47294027.212742
1,AL132020,22,127,22127,885,885,151,151,0,0,0,0,9987774.914361978,9987774.914361978
