event_index,event_name,stcode,ccode,fips,units_DS1_raw,units_DS1_scaled,units_DS2_raw,units_DS2_scaled,units_DS3_raw,units_DS3_scaled,units_DS4_raw,units_DS4_scaled,repair_cost_sum_raw,repair_cost_sum_scaled
1,AL132020,48,241,48241,0,0,0,0,6,6,0,0,287345.3298949109,365895.7195985135
1,AL132020,48,351,48351,397,0,0,397,1064,903,7,168,39278060.08381451,50173726.56332189
1,AL132020,48,361,48361,942,942,0,0,1117,1117,0,0,22158291.44045311,22158291.440453097
1,AL132020,48,403,48403,0,0,822,0,1572,2394,0,0,29853955.848991603,40048022.36890782
1,AL132020,48,419,48419,73,73,14,14,0,0,0,0,440923.64446640876,440923.64446640824
