event_index,event_name,stcode,ccode,fips,units_DS1_raw,units_DS1_scaled,units_DS2_raw,units_DS2_scaled,units_DS3_raw,units_DS3_scaled,units_DS4_raw,units_DS4_scaled,repair_cost_sum_raw,repair_cost_sum_scaled
0,AL142018,12,005,12005,0,0,0,0,4168,4168,4588,4588,311269687.1918321,332428928.44437087
0,AL142018,12,013,12013,0,0,0,0,1309,1309,841,841,63755179.70035288,67715577.63731481
0,AL142018,12,037,12037,526,529,0,0,0,0,2,2,1650426.761048743,2035962.481506267
0,AL142018,12,039,12039,204,204,0,0,2222,1765,13,470,41501012.85159034,45620904.859065026
0,AL142018,12,045,12045,280,599,8,8,0,0,1749,1749,117949426.32033303,124258885.84859832
0,AL142018,12,059,12059,200,200,38,0,0,38,0,0,797096.4008989278,903245.8477041911
0,AL142018,12,063,12063,290,290,533,0,1791,2324,1619,1619,131347423.9362946,140843539.28384152
0,AL142018,12,073,12073,122,122,0,0,107,107,0,0,2869454.615114688,3215303.212715307
0,AL142018,12,077,12077,0,56,0,0,302,302,298,298,23466274.77381313,24915812.19942226
0,AL142018,12,133,12133,0,0,1113,0,637,1750,0,0,31233312.606480196,33903784.44111275
