event_index,event_name,stcode,ccode,fips,units_DS1_raw,units_DS1_scaled,units_DS2_raw,units_DS2_scaled,units_DS3_raw,units_DS3_scaled,units_DS4_raw,units_DS4_scaled,repair_cost_sum_raw,repair_cost_sum_scaled
0,AL142018,01,005,01005,0,0,0,0,0,0,0,0,721768.0064627996,812113.8533875882
0,AL142018,01,045,01045,564,564,0,0,0,0,0,0,1563781.5164708495,1768779.2541294293
0,AL142018,01,061,01061,937,937,0,0,0,0,0,0,2600957.160851012,2880631.45349003
0,AL142018,01,067,01067,338,338,624,0,348,972,0,0,12074082.518519577,13523342.454831246
0,AL142018,01,069,01069,1959,1959,0,0,2404,2404,196,196,67768292.85421965,72749179.66693133
0,AL142018,01,113,01113,0,0,0,0,0,0,0,0,133879.85208783933,133879.85208783968
