storm,year,n_raw,rho_raw,p_raw,n_norm,rho_norm,p_norm
Katrina,2005,16,0.34411764705882353,0.19185563142554293,16,0.4382352941176471,0.08953003199187995
Isaac,2012,1,,,1,,
Hermine,2016,0,,,0,,
Harvey,2017,9,0.7999999999999999,0.00962792472537983,9,0.7166666666666667,0.029818035695845287
Irma,2017,4,-0.6000000000000001,0.3999999999999999,4,1.0,0.0
Michael,2018,29,0.7517241379310343,2.5923428998020703e-06,29,0.7926108374384234,2.9742211297762945e-07
Laura,2020,12,0.6503496503496504,0.022034190932365288,12,0.7202797202797203,0.008239768712338441
Ida,2021,18,0.40350877192982454,0.09680965248246652,18,0.6016511867905057,0.008253780479294327
Ian,2022,8,0.8095238095238096,0.014902667686230067,8,0.7380952380952381,0.03655276105286081
