storm,year,atcf,wind_only,n,rho_wind_only,p_wind_only,rho_scaled,p_scaled,diff_rs,detection_wind_only,detection_scaled,detection_identical,same_counties_detected
Katrina,2005,AL122005,False,16,0.34411764705882353,0.19185563142554296,0.34411764705882353,0.19185563142554296,0.0,0.9470691545392226,0.9470691545392226,True,True
Isaac,2012,AL092012,False,1,,,,,,0.15599724385657496,0.15599724385657496,True,True
Harvey,2017,AL092017,False,9,0.7999999999999999,0.00962792472537983,0.7999999999999999,0.00962792472537983,0.0,0.04449294235415133,0.04449294235415133,True,True
Irma,2017,AL112017,False,4,-0.6000000000000001,0.3999999999999999,-0.6000000000000001,0.3999999999999999,0.0,0.3676222943410084,0.3676222943410084,True,True
Michael,2018,AL142018,False,29,0.7157635467980294,1.2706227592126253e-05,0.7517241379310343,2.59234289980207e-06,0.03596059113300487,0.9859384904586682,0.9859384904586682,True,True
Laura,2020,AL132020,False,12,0.6713286713286714,0.01683145618689339,0.6503496503496504,0.022034190932365295,-0.020979020979020935,0.9184913016096984,0.9184913016096984,True,True
Ida,2021,AL092021,True,18,0.40350877192982454,0.09680965248246652,0.40350877192982454,0.09680965248246652,0.0,0.9600462207104098,0.9600462207104098,True,True
Ian,2022,AL092022,True,8,0.8095238095238096,0.014902667686230067,0.8095238095238096,0.014902667686230067,0.0,0.820534846331151,0.820534846331151,True,True
Pooled (within-storm shares),,,False,96,0.5573521432447097,3.6769566570936605e-09,0.5585322843190451,3.3542451910595157e-09,0.0011801410743353946,,,True,True
