storm,year,n,rho_raw,p_raw,rho_scaled,p_scaled
Katrina,2005,16,0.34411764705882353,0.19185563142554296,0.34411764705882353,0.19185563142554296
Harvey,2017,9,0.7999999999999999,0.00962792472537983,0.7999999999999999,0.00962792472537983
Irma,2017,4,-0.6000000000000001,0.3999999999999999,-0.6000000000000001,0.3999999999999999
Michael,2018,29,0.7157635467980294,1.2706227592126253e-05,0.7517241379310343,2.59234289980207e-06
Laura,2020,12,0.6713286713286714,0.01683145618689339,0.6503496503496504,0.022034190932365295
Pooled (within-storm shares),,70,0.5441168751640276,1.124201577292286e-06,0.5468113025981979,9.707110792129942e-07
