threshold,n_capacity,rho_capacity_rebuild,p_capacity_rebuild,n_recovery,rho_recovery_score,p_recovery_score
0,28,0.39486567060243555,0.037568628617636365,27,-0.3677714101602075,0.059116558223103105
10,17,0.5187002814303966,0.03289532961897756,17,-0.40981625941240823,0.10232133712247929
15,13,0.532967032967033,0.06073650306561792,13,-0.19834786007420713,0.5159519942392409
30,10,0.4545454545454545,0.186904810349332,10,-0.3282689935872349,0.35441832701832526
