fips,total_events,events_with_damage,total_damage_units,total_weighted_damage_units,total_DS1_units,total_DS2_units,total_DS3_units,total_DS4_units,pct_events_with_damage,total_units,damage_units_per_total,weighted_damage_per_total,pct_housing_affected
01119,15,11,5522,10132.0,1423,1848,2215,36,73.33333333333333,8819.0,0.6261480893525343,1.1488830933212382,62.61480893525343
01121,3,0,0,0.0,0,0,0,0,0.0,40776.0,0.0,0.0,0.0
01123,14,8,1749,2675.0,909,377,463,0,57.142857142857146,24472.0,0.07146943445570447,0.1093085975809088,7.1469434455704475
01125,6,6,7525,7551.0,4570,2942,13,0,100.0,91862.0,0.08191635279005464,0.0821993860355751,8.191635279005464
01127,5,1,882,882.0,861,21,0,0,20.0,33298.0,0.026488077362003724,0.026488077362003724,2.6488077362003724
01129,84,75,75191,212616.0,17036,13705,28275,16175,89.28571428571429,8680.0,8.662557603686636,24.49493087557604,866.2557603686637
01131,48,37,11310,21799.0,4400,2807,3342,761,77.08333333333333,5691.0,1.9873484449130205,3.8304340186259007,198.73484449130206
01133,1,0,0,0.0,0,0,0,0,0.0,13782.0,0.0,0.0,0.0
09001,3,3,142,142.0,142,0,0,0,100.0,394399.0,0.00036004148083539767,0.00036004148083539767,0.036004148083539765
09003,8,6,3983,9561.0,550,644,2789,0,75.0,388841.0,0.010243261384473346,0.024588456464210307,1.0243261384473346
09005,6,6,685,1235.0,213,197,275,0,100.0,94474.0,0.007250672142600081,0.01307237970235197,0.7250672142600081
