wind_only_DS,DS0,DS1,DS2,DS3,DS4
DS0,2057219.3719403,5247.270612660001,2.0557070200000003,0.0,0.0
DS1,0.0,16606.07470162,5246.329956680001,8.740626540000001,0.0
DS2,0.0,0.0,14264.35170314,5053.71902966,0.0
DS3,0.0,0.0,0.0,36243.88295344,3275.44492316
DS4,0.0,0.0,0.0,0.0,13209.63327382
