ds,w,units_wind,units_scaled,U_wind_per_yr,U_scaled_per_yr,delta_U_per_yr,R_wind_per_yr,R_scaled_per_yr,delta_R_per_yr,pct_change
DS1,1,32466726.0,32455142.0,21861.14528484,21853.345314280003,-7.799970559997746,21861.14528484,21853.345314280003,-7.799970559997746,-0.03567960625286533
DS2,1,28689920.0,28979026.0,19318.070732800003,19512.73736684,194.666634039997,19318.070732800003,19512.73736684,194.666634039997,1.0076919001516753
DS3,3,58691490.0,61345446.0,39519.3278766,41306.34260964,1787.0147330399996,118557.9836298,123919.02782891999,5361.044199119991,4.521875317869761
DS4,6,19618073.0,24482547.0,13209.63327382,16485.07819698,3275.444923160001,79257.79964292,98910.46918188,19652.669538960006,24.795880818671648
