FIPS,exposed_units,county_name,state_fips
13081,11943.0,Crisp,13
13083,8853.0,Dade,13
13085,14171.0,Dawson,13
13087,15775.0,Decatur,13
13089,334773.0,DeKalb,13
13091,10776.0,Dodge,13
13093,5228.0,Dooly,13
13095,44062.0,Dougherty,13
13097,58673.0,Douglas,13
13099,6556.0,Early,13
13101,1463.0,Echols,13
13103,28237.0,Effingham,13
13105,12915.0,Elbert,13
13107,12658.0,Emanuel,13
13109,6072.0,Evans,13
13111,20530.0,Fannin,13
13113,45453.0,Fayette,13
13115,46317.0,Floyd,13
13117,94558.0,Forsyth,13
13119,14155.0,Franklin,13
13121,478007.0,Fulton,13
13123,20241.0,Gilmer,13
13125,1959.0,Glascock,13
13127,42638.0,Glynn,13
13129,28216.0,Gordon,13
13131,15016.0,Grady,13
13133,11448.0,Greene,13
13135,333044.0,Gwinnett,13
13137,19978.0,Habersham,13
13139,86793.0,Hall,13
13141,5773.0,Hancock,13
13143,15170.0,Haralson,13
13145,15818.0,Harris,13
13147,16449.0,Hart,13
13149,6491.0,Heard,13
13151,87168.0,Henry,13
13153,66769.0,Houston,13
13155,5463.0,Irwin,13
13157,31007.0,Jackson,13
13159,7785.0,Jasper,13
13161,8929.0,Jeff Davis,13
13163,10187.0,Jefferson,13
13165,5090.0,Jenkins,13
13167,4603.0,Johnson,13
13169,13245.0,Jones,13
13171,8382.0,Lamar,13
13173,5125.0,Lanier,13
13175,26817.0,Laurens,13
13177,13292.0,Lee,13
13179,31729.0,Liberty,13
13181,5833.0,Lincoln,13
13183,7331.0,Long,13
13185,53155.0,Lowndes,13
13187,15691.0,Lumpkin,13
13189,12348.0,McDuffie,13
13191,8737.0,McIntosh,13
13193,6734.0,Macon,13
13195,16351.0,Madison,13
13197,4380.0,Marion,13
13199,11794.0,Meriwether,13
13201,3720.0,Miller,13
13205,10826.0,Mitchell,13
13207,11716.0,Monroe,13
13209,4932.0,Montgomery,13
13211,15101.0,Morgan,13
13213,21039.0,Murray,13
13215,84388.0,Muscogee,13
13217,40059.0,Newton,13
13219,18533.0,Oconee,13
