fips,wua_wind,wua_scaled,eard_wind,eard_scaled,eard_diff,eard_ratio
1001,12816.0,17010.0,8.62952544,11.4535134,2.82398796,1.327247191011236
1003,2972639.0,3263010.0,2001.5967442600002,2197.1151534,195.5184091399999,1.0976812186074394
1005,95343.0,101658.0,64.19825562,68.45039772,4.2521421,1.0662345426512696
1007,1872.0,1972.0,1.2604924800000001,1.3278264800000001,0.067334,1.0534188034188035
1009,0.0,0.0,0.0,0.0,0.0,
1011,5859.0,6604.0,3.94509906,4.44673736,0.5016383000000002,1.1271548045741595
1013,79680.0,85866.0,53.6517312,57.81701244,4.165281239999999,1.0776355421686747
1015,0.0,0.0,0.0,0.0,0.0,
1017,2782.0,4183.0,1.87323188,2.81658122,0.9433493400000001,1.5035945363048167
1019,0.0,0.0,0.0,0.0,0.0,
1021,585.0,780.0,0.39390390000000003,0.5252052,0.1313013,1.3333333333333333
1023,25355.0,29803.0,17.0725357,20.06755202,2.9950163200000013,1.1754289094853088
1025,31759.0,37676.0,21.384605060000002,25.36875784,3.9841527799999987,1.1863093926131174
1027,80.0,80.0,0.053867200000000004,0.053867200000000004,0.0,1.0
1031,182785.0,193812.0,123.07645190000001,130.50137208,7.424920180000001,1.0603277074158164
1035,90480.0,98803.0,60.9238032,66.52801202,5.604208820000004,1.0919871794871796
1037,71.0,71.0,0.047807140000000005,0.047807140000000005,0.0,1.0
1039,309707.0,330592.0,208.53811138,222.60081728,14.062705899999997,1.067434704414172
1041,64025.0,69940.0,43.1105935,47.093399600000005,3.982806100000005,1.0923857868020306
1043,0.0,0.0,0.0,0.0,0.0,
1045,226752.0,235832.0,152.68119168,158.79511888000002,6.113927200000006,1.0400437482359584
1047,14212.0,16375.0,9.56950808,11.025942500000001,1.4564344200000008,1.1521953278919224
1049,0.0,0.0,0.0,0.0,0.0,
1051,10480.0,11576.0,7.0566032000000005,7.7945838400000005,0.73798064,1.1045801526717558
1053,477115.0,504463.0,321.2606141,339.67511642,18.414502319999997,1.057319514163252
1055,0.0,0.0,0.0,0.0,0.0,
1057,274.0,369.0,0.18449516000000002,0.24846246000000002,0.0639673,1.3467153284671534
1061,434349.0,465109.0,292.46455566000003,313.17649406000004,20.711938400000008,1.0708186274171232
1063,4828.0,5195.0,3.25088552,3.4980013000000003,0.24711578000000012,1.0760149130074566
1065,8016.0,8689.0,5.39749344,5.85065126,0.4531578200000004,1.0839570858283434
1067,145979.0,154438.0,98.29349986,103.98928292000001,5.695783060000011,1.057946690962399
1069,511421.0,546849.0,344.36021614000003,368.21530566,23.85508951999998,1.0692736512579655
1071,0.0,0.0,0.0,0.0,0.0,
1073,2134.0,2419.0,1.43690756,1.62880946,0.19190189999999996,1.133552014995314
1075,162.0,181.0,0.10908108000000001,0.12187454,0.012793459999999993,1.1172839506172838
1077,0.0,0.0,0.0,0.0,0.0,
1081,28981.0,33548.0,19.51406654,22.58921032,3.0751437799999977,1.1575860046237187
