fips,median_weighted_damage,median_recovery_months,max_weighted_damage,max_recovery_months,damage_ratio,recovery_ratio
01001,1836.5,99.71945699552589,3291.0,178.6968325468422,1.7919956438878302,1.79199564388783
01003,13346.0,41.244398665077966,360389.0,1113.7440124763064,27.003521654428294,27.003521654428294
01005,1058.5,373.5882353380692,11880.0,4192.941176963876,11.22342938119981,11.223429381199814
01007,986.0,739.500000184875,1924.0,1443.0000003607502,1.9513184584178498,1.95131845841785
01013,1032.0,952.6153849084972,13226.0,12208.615388371883,12.815891472868216,12.815891472868218
01017,731.5,204.13953490271064,2240.0,625.1162791279178,3.062200956937799,3.062200956937799
01021,268.0,128.6400000205824,340.0,163.20000002611198,1.2686567164179106,1.2686567164179103
01025,210.0,360.0000002057143,3354.0,5749.714288999837,15.971428571428572,15.971428571428572
01027,80.0,106.66666666666669,80.0,106.66666666666669,1.0,1.0
01031,1323.5,115.92700726542277,13397.0,1173.4598536719825,10.122402720060446,10.122402720060446
01035,650.0,7800.0000312,6686.0,80232.00032092801,10.286153846153846,10.286153846153848
01039,1728.0,1595.0769235677162,34617.0,31954.153855985896,20.03298611111111,20.03298611111111
01041,736.0,2208.000002208,9175.0,27525.000027525,12.466032608695652,12.466032608695652
01045,2931.0,925.5789472709918,19680.0,6214.73684145108,6.714431934493347,6.714431934493346
01047,348.0,596.5714289123265,3905.0,6694.28571811102,11.221264367816092,11.221264367816092
01051,504.0,65.73913043192438,6205.0,809.3478260517675,12.311507936507937,12.311507936507937
01053,2588.0,1725.3333333333335,29153.0,19435.33333333333,11.26468315301391,11.264683153013907
01061,3193.0,982.4615384615385,34097.0,10491.384615384615,10.678672095208269,10.678672095208269
01063,814.0,2442.000002442,1887.0,5661.000005661,2.3181818181818183,2.318181818181818
01065,1198.5,1307.4545449791076,2486.0,2711.999999013818,2.0742594910304546,2.0742594910304546
01067,2122.5,358.7323943459869,24832.0,4196.957746242425,11.699411071849234,11.699411071849235
01069,3356.5,86.99352052587417,32057.0,830.8509719940259,9.550722478772531,9.55072247877253
01073,1209.5,7.203878901285926,2362.0,13.407757802571853,1.9528730880529144,1.8611858953068332
01081,930.0,6.006458558881907,15229.0,98.35737354108878,16.3752688172043,16.3752688172043
01087,447.0,1072.79999914176,5435.0,13043.9999895648,12.158836689038031,12.158836689038031
01097,6093.5,43.576877245191156,695329.0,4972.555424308119,114.10995322885042,114.10995322885042
01099,889.0,226.978723384938,5559.0,1419.319148815377,6.253093363329584,6.253093363329583
01101,828.0,21.60000000187826,10812.0,282.05217393756976,13.057971014492754,13.057971014492754
01107,23.0,137.999999724,43.0,257.999999484,1.8695652173913044,1.8695652173913044
01109,1675.0,478.57142857142856,10371.0,2963.1428571428573,6.191641791044776,6.191641791044777
01113,561.0,36.78688524590164,8595.0,563.6065573770492,15.320855614973262,15.320855614973263
01117,629.0,7.64741641337386,629.0,7.64741641337386,1.0,1.0
01119,845.0,2535.000002535,2270.0,6810.00000681,2.6863905325443787,2.6863905325443787
01123,119.5,6.5779816501691775,1138.0,62.6422018233684,9.523012552301255,9.523012552301255
01125,1535.5,29.623794214123716,2417.0,46.63022508338458,1.574080104200586,1.574080104200586
01127,882.0,294.0,882.0,294.0,1.0,1.0
01131,168.0,504.000000504,4920.0,14760.00001476,29.285714285714285,29.285714285714285
10001,1588.0,15.866777690546805,34314.0,342.8542882074452,21.60831234256927,21.608312342569267
10003,42.0,1.0,3881.0,34.06876370619788,92.4047619047619,34.06876370619788
10005,12135.0,33.44510794978825,48651.0,134.08635738484946,4.009147095179234,4.009147095179234
12001,7454.5,50.425028196262694,372047.0,2516.6651640398345,49.90904822590382,49.90904822590382
12003,4715.5,571.5757575757575,40990.0,4968.484848484848,8.692609479376523,8.692609479376525
12005,8053.0,39.076425400578486,316097.0,1533.830974772961,39.25207997019744,39.252079970197435
12007,3868.0,499.0967741935484,41518.0,5357.1612903225805,10.733712512926576,10.733712512926576
12009,20613.0,53.7496740547588,715749.0,1866.3598435462843,34.723184398195315,34.723184398195315
12011,18086.0,102.810042614342,1640532.0,9325.620083500591,90.70728740462236,90.70728740462235
12013,2464.0,985.6,21557.0,8622.8,8.748782467532468,8.748782467532466
12015,12471.0,32.63947655682787,553292.0,1448.0924755898009,44.36628979231818,44.36628979231818
12017,18783.5,92.2644289958681,425927.0,2092.150634808376,22.675592940612773,22.67559294061278
12019,20625.0,131.92963755478243,222951.0,1426.1257998776389,10.809745454545455,10.809745454545457
12021,6866.0,23.40681818447805,1305911.0,4451.969318687724,190.1996795805418,190.1996795805418
12023,10862.0,732.2696630859033,70014.0,4720.044944880909,6.4457742588841835,6.445774258884183
12027,5565.5,940.6478872709495,71382.0,12064.563379601996,12.825801814751594,12.825801814751593
12029,4696.0,1150.0408164204116,30804.0,7543.836735309702,6.559625212947189,6.559625212947189
12031,22196.5,40.95924957459886,2522136.0,4654.103029084786,113.6276439979276,113.62764399792758
12033,7357.0,59.69168356997972,612817.0,4972.1460446247465,83.2971319831453,83.29713198314529
