fips,rt_mean,rt_median,rt_std,rt_cv,rt_skew,rt_p10,rt_p50,rt_p90,rt_p99,rt_max,rt_iqr,frac_rt_zero,frac_rt_low,frac_rt_medium,frac_rt_high,frac_rt_extreme,wd_mean,wd_median,wd_std,wd_cv,wd_skew,wd_p90,wd_p99,wd_max,capacity,damage_recovery_corr,n_events,n_damaging_events
01001,43.98190044452816,0.0,65.28999632367797,1.484474196516917,1.1037047393680692,0.0,0.0,159.58371037835587,175.93846150661747,178.6968325468422,82.2624434240249,0.5238095238095238,0.0,0.09523809523809523,0.19047619047619047,0.19047619047619047,810.0,0.0,1202.4240991787026,1.4844741965169168,1.1037047393680692,2939.0,3240.2000000000003,3291.0,18.41666667,1.0,21.0,10.0
01003,67.82456829378437,20.510945147618948,144.69378084980357,2.1333535102362564,5.382401984291819,0.0,20.510945147618948,174.96636622971587,871.6764152327296,1113.7440124763064,74.80427505287709,0.18120805369127516,0.0,0.24161073825503357,0.42953020134228187,0.1476510067114094,21899.395973154362,6637.0,46842.1531554558,2.1389700982108284,5.37734849271063,56616.20000000001,282059.96000000153,360389.0,323.5833333,0.999991656331573,149.0,122.0
01005,676.9800222772008,135.17647060413842,978.6398839951772,1.4455964013579958,1.561992036059728,0.0,135.17647060413842,2153.5764708415977,3690.8047063165627,4192.941176963876,1285.411764857107,0.20754716981132076,0.0,0.1509433962264151,0.1320754716981132,0.5094339622641509,1918.0754716981132,383.0,2772.8369087643628,1.445634934432226,1.5619711911888334,6101.800000000001,10457.279999999992,11880.0,2.833333333,0.9999999959908469,53.0,42.0
01007,246.500000061625,0.0,535.2525106370335,2.17140977891773,1.7864515727826527,0.0,0.0,739.500000184875,1372.650000343163,1443.0000003607502,27.000000006750003,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,328.6666666666667,0.0,713.6700140042938,2.1714097789177296,1.7864515727826529,986.0,1830.2000000000003,1924.0,1.333333333,0.9999999999999998,6.0,2.0
01009,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.083333333,,3.0,0.0
01013,1071.0966739262294,353.5384616472427,1803.393338746613,1.6836886740914476,3.5688902801041826,0.0,353.5384616472427,3090.092308643107,7263.932309927338,12208.615388371883,1499.538461999858,0.28378378378378377,0.0,0.06756756756756757,0.0945945945945946,0.5540540540540541,1160.3513513513512,383.0,1953.678121103001,1.6836953038644178,3.568882654674453,3347.6000000000017,7869.259999999971,13226.0,1.083333333,0.9999999999651413,74.0,53.0
01015,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.25,0.0,1.0,0.0
01017,116.7348837317893,0.0,189.35824762871047,1.6221222103906918,1.825049508023243,0.0,0.0,279.76744188648985,590.5813954037751,625.1162791279178,158.6511628054559,0.6,0.0,0.0,0.0,0.4,418.3,0.0,678.5337206064264,1.6221222103906918,1.8250495080232432,1002.4999999999995,2116.25,2240.0,3.583333333,0.9999999999999999,10.0,4.0
01019,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.25,0.0,1.0,0.0
01021,31.200000004991995,0.0,56.50764197010698,1.8111423705469798,1.4258365571052243,0.0,0.0,124.03200001984513,159.39840002550375,163.20000002611198,20.640000003302397,0.75,0.0,0.0,0.08333333333333333,0.16666666666666666,65.0,0.0,117.72425408555367,1.8111423705469796,1.4258365571052243,258.40000000000003,332.08000000000004,340.0,2.083333333,1.0,12.0,3.0
01025,861.1657147778088,130.28571436016327,1420.9650075936247,1.65004828131163,1.8631970974634147,0.0,130.28571436016327,3481.028573417733,5422.422860241387,5749.714288999837,904.2857148024489,0.24,0.0,0.06666666666666667,0.16,0.5333333333333333,502.3466666666667,76.0,828.8962539559593,1.6500482813116293,1.8631970974634144,2030.6000000000013,3163.0800000000013,3354.0,0.583333333,1.0,75.0,57.0
01027,106.66666666666669,106.66666666666669,0.0,0.0,,106.66666666666669,106.66666666666669,106.66666666666669,106.66666666666669,106.66666666666669,0.0,0.0,0.0,0.0,1.0,0.0,80.0,80.0,0.0,0.0,,80.0,80.0,80.0,0.75,0.0,1.0,1.0
01031,197.39806478704384,59.16788319440354,265.9327011973632,1.3471900116359075,1.5258939339017585,0.0,59.16788319440354,579.153284502437,1001.5489048170672,1173.4598536719825,331.3795619470424,0.18604651162790697,0.0,0.11627906976744186,0.29069767441860467,0.4069767441860465,2253.6279069767443,675.5,3036.0650062230056,1.3471900116359075,1.525893933901758,6612.0,11434.350000000013,13397.0,11.41666667,0.9999999999999996,86.0,70.0
01035,12223.05159528396,4572.000018288,16980.46974945868,1.3892168921229362,1.8569230214201915,0.0,4572.000018288,34884.000139536,73066.5602922662,80232.00032092801,19740.00007896,0.2268041237113402,0.0,0.0,0.05154639175257732,0.7216494845360825,1018.5876288659794,381.0,1415.0391401280665,1.389216892122936,1.8569230214201922,2907.0,6088.879999999995,6686.0,0.083333333,1.0,97.0,75.0
01039,2608.2209081003593,910.1538464338936,4139.095401254214,1.5869420371562137,3.5100716297696515,0.0,910.1538464338936,7903.938463970444,10841.206157181912,31954.153855985896,3679.3846165167342,0.20512820512820512,0.0,0.008547008547008548,0.11965811965811966,0.6666666666666666,2825.5726495726494,986.0,4484.020016645701,1.5869420371562137,3.5100716297696493,8562.6,11744.640000000001,34617.0,1.083333333,0.9999999999999984,117.0,93.0
01041,2874.2465782167124,315.000000315,4733.665854533032,1.6469240636514808,2.547967545020054,0.0,315.000000315,10173.600010173599,18046.920018046934,27525.000027525,3741.000003741,0.273972602739726,0.0,0.0410958904109589,0.1095890410958904,0.5753424657534246,958.082191780822,105.0,1577.888616599789,1.646924063651481,2.547967545020054,3391.1999999999994,6015.640000000005,9175.0,0.333333333,0.999999999999999,73.0,53.0
01043,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,,2.0,0.0
01045,1063.9037592865066,662.5263157197342,1337.585908589844,1.257243333256834,1.6787724771650407,0.0,662.5263157197342,2550.31578920523,5096.718946831928,6214.73684145108,1415.9999998509475,0.22857142857142856,0.0,0.0,0.08571428571428572,0.6857142857142857,3369.0285714285715,2098.0,4235.688710980367,1.2572433332568342,1.6787724771650414,8076.0,16139.610000000011,19680.0,3.166666667,1.0,70.0,54.0
