fips,earp_months_per_year,num_events,total_recovery_months,mean_recovery_per_event,max_recovery
01001,0.46857151701926303,21,695.891402588979,33.13768583757043,159.58371037835587
01003,6.200529857376012,149,9208.61653455314,61.802795533913695,995.93819222209
01005,22.65864355913623,53,33651.11765101766,634.9267481324086,4183.058824021537
01007,0.9453693602363424,6,1404.0000003510002,234.00000005850004,1404.0000003510002
01009,0.0,3,0.0,0.0,0.0
01011,0.0,0,0.0,,
01013,49.52477855985337,74,73550.92309955352,993.9313932372097,11773.846157468875
01015,0.0,1,0.0,0.0,0.0
01017,0.5227623851649081,10,776.3720930954764,77.63720930954764,372.5581395695403
01019,0.0,1,0.0,0.0,0.0
01021,0.18907387203025183,12,280.80000004492797,23.400000003743997,163.20000002611198
01023,0.0,0,0.0,,
01025,36.65932298094818,75,54444.00003111085,725.9200004148114,5125.714288643265
01027,0.07182293333333335,1,106.66666666666669,106.66666666666669,106.66666666666669
01031,10.780419141377982,86,16010.364958829092,186.16703440498944,1120.8175179209293
01035,731.0856413243426,97,1085760.00434304,11193.402106629279,64560.000258240005
01037,0.0,0,0.0,,
01039,192.49671825615286,117,285883.38470334874,2443.4477325072544,31816.615394405115
01041,129.33178062933177,73,192075.000192075,2631.1643861928083,26178.000026178
01043,0.0,2,0.0,0.0,0.0
01045,48.21511315702999,70,71605.89472930465,1022.9413532757808,6066.315788835125
01047,16.404871003659927,28,24363.42858535053,870.1224494768047,5033.142860018938
01049,0.0,1,0.0,0.0,0.0
01051,0.9204265043078075,18,1366.9565216796975,75.94202898220541,777.7826086618355
01053,214.17374273333334,133,318076.6666666667,2391.5538847117796,19413.333333333332
01055,0.0,2,0.0,0.0,0.0
01057,0.0,0,0.0,,
01061,89.98909404923077,109,133645.84615384616,1226.1086803105152,10289.23076923077
01063,9.752656569752656,13,14484.000014484,1114.153847268,5661.000005661
01065,5.888174659677028,9,8744.727269547371,971.6363632830412,2657.4545444881983
01067,16.613545426951386,64,24673.33802677902,385.5209066684222,4070.704225122777
01069,8.928046294161785,88,13259.343413671822,150.67435697354344,826.1857452117655
01071,0.0,1,0.0,0.0,0.0
01073,0.008826041341882175,5,13.10785241019719,2.621570482039438,12.10785241019719
